Entry	Entry name	Status	Protein names	Gene names	Organism	Gene ontology (biological process)	Cross-reference (STRING)
Q8YG01	Q8YG01_BRUME	unreviewed	Hypothetical cytosolic protein	BMEI1361	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_0852;
Q8YBN4	Q8YBN4_BRUME	unreviewed	1-carboxy-3-chloro-3,4-dihydroxycyclo hexa-1,5-diene dehydrogenase	BMEII0865	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_1722;
Q8YFZ6	Q8YFZ6_BRUME	unreviewed	Hypothetical membrane spanning protein	BMEI1366	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_0846;
Q8YAZ7	Q8YAZ7_BRUME	unreviewed	Uncharacterized protein	BMEII1104	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_1500;
Q8YJF8	Q8YJF8_BRUME	unreviewed	Acetyltransferase (EC 2.3.1.-)	BMEI0125	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_0070;
Q8YJM0	Q8YJM0_BRUME	unreviewed	Uncharacterized protein	BMEI0062	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		
Q8YDZ8	Q8YDZ8_BRUME	unreviewed	Uncharacterized protein	BMEII0022	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_1445;
F8WJP2	F8WJP2_BRUME	unreviewed	Uncharacterized protein	BMEII0831	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_1755;
Q8YF78	Q8YF78_BRUME	unreviewed	D-hydantoinase (EC 3.5.2.2)	BMEI1644	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_0583;
Q8YBA5	Q8YBA5_BRUME	unreviewed	Uncharacterized protein	BMEII0995	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_1604;
Q8YDU8	Q8YDU8_BRUME	unreviewed	Enterobactin synthetase component f	BMEII0076	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_1394;
Q8YIB7	Q8YIB7_BRUME	unreviewed	Hypothetical cytosolic protein	BMEI0527	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_2506;
Q8YB97	Q8YB97_BRUME	unreviewed	Putative o-antigen transporter	BMEII1003	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_1596;
Q8YHC3	Q8YHC3_BRUME	unreviewed	Uncharacterized protein	BMEI0879	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		
Q8YBS0	Q8YBS0_BRUME	unreviewed	3-oxoacyl-(Acyl-carrier protein) reductase (EC 1.1.1.100)	BMEII0816	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_1768;
Q8YCP4	Q8YCP4_BRUME	unreviewed	ABC transporter integral membrane protein	BMEII0484	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	transmembrane transport [GO:0055085]	224914.BAWG_2087;
Q8YHJ3	Q8YHJ3_BRUME	unreviewed	Uncharacterized protein	BMEI0805	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_2779;
Q8YJ82	Q8YJ82_BRUME	unreviewed	Acetyltransferase (EC 2.3.1.-)	BMEI0204	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_2877;
Q8YFE2	Q8YFE2_BRUME	unreviewed	Mannitol transporter, large subunit	BMEI1580	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_0644;
Q8YJ63	Q8YJ63_BRUME	unreviewed	Membrane-bound lytic murein transglycosylase b (EC 3.2.1.-)	BMEI0223	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	metabolic process [GO:0008152]	224914.BAWG_2897;
Q8YFQ9	Q8YFQ9_BRUME	unreviewed	Zinc-finger protein	BMEI1461	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_0762;
Q8YEY6	Q8YEY6_BRUME	unreviewed	Uncharacterized protein	BMEI1741	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		
Q8YCL5	Q8YCL5_BRUME	unreviewed	Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.49)	zwf BMEII0513	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	glucose metabolic process [GO:0006006]; pentose-phosphate shunt [GO:0006098]	224914.BAWG_2058;
Q8YIR9	Q8YIR9_BRUME	unreviewed	Sensory transduction histidine kinase (EC 2.7.3.-)	BMEI0374	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_3050;
Q8YF08	Q8YF08_BRUME	unreviewed	Sarcosine oxidase gamma subunit (EC 1.5.3.1)	BMEI1719	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_0514;
Q8YG87	Q8YG87_BRUME	unreviewed	Transporter, lyse family	BMEI1274	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	amino acid transport [GO:0006865]	224914.BAWG_0938;
Q8YCT3	Q8YCT3_BRUME	unreviewed	Transposase	BMEII0445	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		
Q8YFI8	Q8YFI8_BRUME	unreviewed	Farnesyl pyrophosphate synthetase / geranyltranstransferase (EC 2.5.1.1) (EC 2.5.1.10)	BMEI1532	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	isoprenoid biosynthetic process [GO:0008299]	224914.BAWG_0694;
Q8YDX2	Q8YDX2_BRUME	unreviewed	Sensory transduction histidine kinase (EC 2.7.3.-)	BMEII0052	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_1418;
Q8YJE8	Q8YJE8_BRUME	unreviewed	Putative atpase n2b	BMEI0136	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_0060;
Q8YC90	Q8YC90_BRUME	unreviewed	Pca regulon regulatory protein	BMEII0642	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	3,4-dihydroxybenzoate metabolic process [GO:0046278]; positive regulation of transcription, DNA-templated [GO:0045893]; transcription, DNA-templated [GO:0006351]	224914.BAWG_1936;
Q8YF45	Q8YF45_BRUME	unreviewed	Uncharacterized protein	BMEI1682	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_0547;
Q8YGT7	Q8YGT7_BRUME	unreviewed	Uncharacterized protein	BMEI1070	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_1139;
Q8YH13	Q8YH13_BRUME	unreviewed	Endolytic peptidoglycan transglycosylase RlpA (EC 4.2.2.-)	rlpA BMEI0991	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	cell wall organization [GO:0071555]; peptidoglycan metabolic process [GO:0000270]	224914.BAWG_1213;
Q8YC03	Q8YC03_BRUME	unreviewed	Uncharacterized protein	BMEII0732	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		
Q8YB99	Q8YB99_BRUME	unreviewed	Nore protein	BMEII1001	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	aerobic electron transport chain [GO:0019646]	224914.BAWG_1598;
Q8YF10	Q8YF10_BRUME	unreviewed	Transcriptional regulator, iclr family	BMEI1717	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]	224914.BAWG_0516;
Q8YFM6	Q8YFM6_BRUME	unreviewed	Uncharacterized protein	BMEI1494	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_0730;
Q8YH42	Q8YH42_BRUME	unreviewed	Membrane lipoprotein lipid attachment site containing protein	BMEI0962	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_1243;
Q8YCY2	Q8YCY2_BRUME	unreviewed	Transcriptional regulatory protein, asnc family	BMEII0395	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	transcription, DNA-templated [GO:0006351]	224914.BAWG_2168;
F8WJP6	F8WJP6_BRUME	unreviewed	Gdp-mannose 4,6-dehydratase / gdp-4-amino-4,6-dideoxy-d-mannose formyltransferase (EC 2.1.2.-) (EC 4.2.1.47)	BMEI1418	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	biosynthetic process [GO:0009058]	224914.BAWG_0804;
Q8YDE1	Q8YDE1_BRUME	unreviewed	Peptide chain release factor 3 (RF-3)	prfC BMEII0236	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	regulation of translational termination [GO:0006449]	224914.BAWG_2319;
Q8YF48	Q8YF48_BRUME	unreviewed	Uncharacterized protein	BMEI1679	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_0550;
Q8YGB3	Q8YGB3_BRUME	unreviewed	Hypothetical cytosolic protein	BMEI1246	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_0965;
Q8YDT9	Q8YDT9_BRUME	unreviewed	Galactoside transport system permease protein mglc	BMEII0086	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_1384;
Q8YH44	Q8YH44_BRUME	unreviewed	Uncharacterized protein	BMEI0960	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_1245;
Q8YBU9	Q8YBU9_BRUME	unreviewed	Putative uroporphyrin-iii c-methyltransferase (EC 2.1.1.107)	BMEII0787	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_1798;
Q8YIK2	Q8YIK2_BRUME	unreviewed	Uncharacterized protein	BMEI0442	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_2419;
Q8YDI6	Q8YDI6_BRUME	unreviewed	Uncharacterized protein	BMEII0190	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		
Q8YBG2	Q8YBG2_BRUME	unreviewed	Myo-inositol 2-dehydrogenase (EC 1.1.1.18)	BMEII0938	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_1655;
Q8YBM0	Q8YBM0_BRUME	unreviewed	Putative cytochrome p450 yjib (EC 1.14.-.-)	BMEII0879	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_1707;
Q8YBW8	Q8YBW8_BRUME	unreviewed	Potassium efflux system protein phad	BMEII0768	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_1817;
Q8YF64	Q8YF64_BRUME	unreviewed	Antirepressor protein ant	BMEI1663	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_0567;
Q8YC39	Q8YC39_BRUME	unreviewed	Hypothetical cytosolic protein	BMEII0693	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_1880;
Q8YFR4	Q8YFR4_BRUME	unreviewed	Thiol peroxidase (EC 1.11.1.-)	BMEI1456	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	cell redox homeostasis [GO:0045454]	224914.BAWG_0767;
Q8YBT6	Q8YBT6_BRUME	unreviewed	Transcriptional regulator	BMEII0800	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_1784;
Q8YCW6	Q8YCW6_BRUME	unreviewed	Uncharacterized protein	BMEII0412	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		
Q8YI72	Q8YI72_BRUME	unreviewed	Penicillin-binding protein 2	BMEI0573	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_2548;
Q8YFQ8	Q8YFQ8_BRUME	unreviewed	Cytochrome c oxidase polypeptide iii (EC 1.9.3.1)	BMEI1462	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	aerobic electron transport chain [GO:0019646]	224914.BAWG_0761;
Q8YC30	Q8YC30_BRUME	unreviewed	ABC transporter periplasmic binding protein	BMEII0702	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_1873;
Q8YG16	Q8YG16_BRUME	unreviewed	Hypothetical phage protein	BMEI1346	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_0868;
Q8YEU0	Q8YEU0_BRUME	unreviewed	Ribosome hibernation promoting factor (HPF)	hpf BMEI1787	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	primary metabolic process [GO:0044238]; regulation of translation [GO:0006417]	224914.BAWG_0448;
Q8YC24	Q8YC24_BRUME	unreviewed	Uncharacterized protein	BMEII0709	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		
Q8YG18	Q8YG18_BRUME	unreviewed	Hypothetical phage protein	BMEI1344	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_0870;
Q8YDR0	Q8YDR0_BRUME	unreviewed	Glycerol-3-phosphate-binding periplasmic protein	BMEII0115	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_1358;
Q8YHC9	Q8YHC9_BRUME	unreviewed	GTPase HflX (GTP-binding protein HflX)	hflX BMEI0873	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_2844;
Q8YJ41	Q8YJ41_BRUME	unreviewed	Primosomal protein n	BMEI0245	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		
Q8YEP8	Q8YEP8_BRUME	unreviewed	25 kDa outer-membrane immunogenic protein	BMEI1830	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_0411;
Q8YEV7	Q8YEV7_BRUME	unreviewed	Ribosomal RNA small subunit methyltransferase I (EC 2.1.1.198) (16S rRNA 2'-O-ribose C1402 methyltransferase) (rRNA (cytidine-2'-O-)-methyltransferase RsmI)	rsmI BMEI1770	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	enzyme-directed rRNA 2'-O-methylation [GO:0000453]	224914.BAWG_0466;
Q8YHH7	Q8YHH7_BRUME	unreviewed	Uncharacterized protein	BMEI0822	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_2796;
Q8YES2	Q8YES2_BRUME	unreviewed	Probable lipid II flippase MurJ	murJ BMEI1805	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	224914.BAWG_0432;
Q8YJJ6	Q8YJJ6_BRUME	unreviewed	Thiol:disulfide interchange protein tlpa	BMEI0087	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	cell redox homeostasis [GO:0045454]	224914.BAWG_0108;
Q8YDJ4	Q8YDJ4_BRUME	unreviewed	N-acetylglucosamine kinase (EC 2.7.1.59)	BMEII0181	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_1298;
Q8YC14	Q8YC14_BRUME	unreviewed	Transcriptional regulator, arac family	BMEII0721	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	transcription, DNA-templated [GO:0006351]	224914.BAWG_1859;
Q8YDC5	Q8YDC5_BRUME	unreviewed	Murein endopeptidase	BMEII0253	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_2304;
Q8YAY0	Q8YAY0_BRUME	unreviewed	Iron(Iii)-transport system permease protein sfub	BMEII1121	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	transmembrane transport [GO:0055085]	224914.BAWG_1484;
Q8YDE8	Q8YDE8_BRUME	unreviewed	Uncharacterized protein	BMEII0229	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_2327;
Q8YC75	Q8YC75_BRUME	unreviewed	Regulator of nucleoside diphosphate kinase	BMEII0657	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		
Q8YCR2	Q8YCR2_BRUME	unreviewed	Tetratricopeptide repeat family protein	BMEII0466	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_2101;
Q8YH67	Q8YH67_BRUME	unreviewed	Putative competence-damage protein	BMEI0937	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_1266;
Q8YD10	Q8YD10_BRUME	unreviewed	Histidine ammonia-lyase (EC 4.3.1.3)	BMEII0367	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		
Q8YFM0	Q8YFM0_BRUME	unreviewed	Uncharacterized protein	BMEI1500	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_0724;
Q8YIY9	Q8YIY9_BRUME	unreviewed	Transporter, mfs superfamily	BMEI0300	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	transmembrane transport [GO:0055085]	224914.BAWG_2974;
Q8YDE2	Q8YDE2_BRUME	unreviewed	Coenzyme A biosynthesis bifunctional protein CoaBC (EC 4.1.1.36) (EC 6.3.2.5) (DNA/pantothenate metabolism flavoprotein)	BMEII0235	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	coenzyme A biosynthetic process [GO:0015937]; pantothenate catabolic process [GO:0015941]	224914.BAWG_2320;
Q8YH58	Q8YH58_BRUME	unreviewed	Nad(Fad)-utilizing dehydrogenases	BMEI0946	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_1259;
Q8YFS1	Q8YFS1_BRUME	unreviewed	Uncharacterized protein	BMEI1449	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_0774;
Q8YDS6	Q8YDS6_BRUME	unreviewed	High-affinity branched-chain amino acid transport ATP-binding protein livg	BMEII0099	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_1373;
Q8YB81	Q8YB81_BRUME	unreviewed	Alpha-methylacyl-CoA racemase (EC 5.1.99.4)	BMEII1019	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_1581;
Q8YFC4	Q8YFC4_BRUME	unreviewed	Transcriptional regulatory protein, lysr family	BMEI1598	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	transcription, DNA-templated [GO:0006351]	224914.BAWG_0626;
F8WJX0	F8WJX0_BRUME	unreviewed	Gdp-4-dehydro-d-rhamnose reductase (EC 1.1.1.187)	BMEII0849	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_1736;
Q8YGN5	Q8YGN5_BRUME	unreviewed	Phosphoribosylformylglycinamidine synthase subunit PurS (FGAM synthase) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase subunit III) (FGAR amidotransferase III) (FGAR-AT III) (Phosphoribosylformylglycinamidine synthase subunit III)	purS BMEI1123	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	'de novo' IMP biosynthetic process [GO:0006189]	224914.BAWG_1086;
Q8YFI9	Q8YFI9_BRUME	unreviewed	Tetratricopeptide repeat family protein	BMEI1531	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_0695;
Q8YJ26	Q8YJ26_BRUME	unreviewed	High-affinity branched-chain amino acid transport ATP-binding protein braf	BMEI0260	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_2934;
Q8YI99	Q8YI99_BRUME	unreviewed	Pyrazinamidase / nicotinamidase (EC 3.5.1.-) (EC 3.5.1.19)	BMEI0546	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_2524;
Q7CNS7	Q7CNS7_BRUME	unreviewed	Periplasmic dipeptide transport protein	BMEII0217	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_2361;
Q8YC18	Q8YC18_BRUME	unreviewed	Preprotein translocase subunit-like protein	BMEII0715	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_1861;
Q8YIP0	Q8YIP0_BRUME	unreviewed	UPF0056 inner membrane protein	BMEI0403	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_2384;
Q8YF14	Q8YF14_BRUME	unreviewed	Maltose/maltodextrin transport ATP-binding protein malk	BMEI1713	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_0520;
F8WJP1	F8WJP1_BRUME	unreviewed	Uncharacterized protein	BMEII0833	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_1753;
Q8YHD5	Q8YHD5_BRUME	unreviewed	DNA-binding transcriptional regulator NtrC (Nitrogen regulation protein NR(I))	ntrC BMEI0866	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	nitrogen fixation [GO:0009399]; regulation of nitrogen utilization [GO:0006808]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]	224914.BAWG_2837;
Q8YDG1	Q8YDG1_BRUME	unreviewed	Probable 3-hydroxybutyryl-CoA dehydrogenase (EC 1.1.1.157)	BMEII0215	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	fatty acid metabolic process [GO:0006631]	224914.BAWG_2359;
Q8YI60	Q8YI60_BRUME	unreviewed	Cell division protein FtsZ	ftsZ BMEI0585	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	cell septum assembly [GO:0090529]; FtsZ-dependent cytokinesis [GO:0043093]; protein polymerization [GO:0051258]	224914.BAWG_2560;
Q8YC92	Q8YC92_BRUME	unreviewed	p-hydroxybenzoate hydroxylase (EC 1.14.13.2)	BMEII0640	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	benzoate catabolic process [GO:0043639]	224914.BAWG_1938;
Q8YJS9	Q8YJS9_BRUME	unreviewed	Transcription termination factor Rho (EC 3.6.4.-) (ATP-dependent helicase Rho)	rho BMEI0003	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	DNA-templated transcription, termination [GO:0006353]	224914.BAWG_0185;
Q8YDG2	Q8YDG2_BRUME	unreviewed	3-hydroxybutyryl-CoA dehydratase (EC 4.2.1.55)	BMEII0214	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_2358;
Q8YDI4	Q8YDI4_BRUME	unreviewed	Glutamate-1-semialdehyde 2,1-aminomutase (EC 5.4.3.8)	BMEII0192	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_2336;
Q8YET4	Q8YET4_BRUME	unreviewed	Putative protease iv	BMEI1793	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_0443;
Q8YCK2	Q8YCK2_BRUME	unreviewed	Transcriptional regulatory protein, lysr family	BMEII0526	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	transcription, DNA-templated [GO:0006351]	224914.BAWG_2045;
Q8YBV8	Q8YBV8_BRUME	unreviewed	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62)	BMEII0778	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	biotin biosynthetic process [GO:0009102]	224914.BAWG_1807;
Q8YDD2	Q8YDD2_BRUME	unreviewed	Universal stress protein family	BMEII0245	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_2312;
Q8YB86	Q8YB86_BRUME	unreviewed	Two component response regulator	BMEII1014	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	phosphorelay signal transduction system [GO:0000160]; regulation of transcription, DNA-templated [GO:0006355]	224914.BAWG_1586;
Q8YIK7	Q8YIK7_BRUME	unreviewed	Dipeptide transport ATP-binding protein dppd	BMEI0437	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	peptide transport [GO:0015833]	224914.BAWG_2414;
Q8YIL5	Q8YIL5_BRUME	unreviewed	23S ribosomal RNA methyltransferase (EC 2.1.1.-)	BMEI0429	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	RNA processing [GO:0006396]	224914.BAWG_2408;
Q8YIE6	Q8YIE6_BRUME	unreviewed	Cold shock protein cspa	BMEI0498	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	regulation of transcription, DNA-templated [GO:0006355]	224914.BAWG_2479;
Q8YF16	Q8YF16_BRUME	unreviewed	Uncharacterized protein	BMEI1711	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_0522;
Q8YBK6	Q8YBK6_BRUME	unreviewed	Hydrogen peroxide-inducible genes activator	BMEII0894	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	transcription, DNA-templated [GO:0006351]	224914.BAWG_1691;
Q8YHW4	Q8YHW4_BRUME	unreviewed	Mechanosensitive ion channel	BMEI0682	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	transmembrane transport [GO:0055085]	224914.BAWG_2653;
Q8YJ97	Q8YJ97_BRUME	unreviewed	Aspartokinase (EC 2.7.2.4)	BMEI0189	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	lysine biosynthetic process via diaminopimelate [GO:0009089]; threonine biosynthetic process [GO:0009088]	224914.BAWG_0008;
Q8YJN8	Q8YJN8_BRUME	unreviewed	Cbs domain containing protein	BMEI0044	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_0149;
Q8YCH3	Q8YCH3_BRUME	unreviewed	Transcriptional regulator, rpir family	BMEII0556	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	carbohydrate derivative metabolic process [GO:1901135]; transcription, DNA-templated [GO:0006351]	224914.BAWG_2016;
Q8YFJ3	Q8YFJ3_BRUME	unreviewed	Glycolate oxidase subunit glcd	BMEI1527	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_0699;
Q8YE78	Q8YE78_BRUME	unreviewed	Phosphatidylethanolamine n-methyltransferase / phosphatidyl-n-methylethanolamine n-methyltransferase (EC 2.1.1.17) (EC 2.1.1.71)	BMEI2000	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)		224914.BAWG_0247;
